Loan ID,Customer Name,Customer City,Customer State,Customer Zip,Phone Number,Employment Status,Annual Income,Debt-to-Income %,Credit Score,Credit Tier,Co-Borrower,Dealership,Dealership City,Dealership State,Dealership Zip,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Category,New/Used,Vehicle Price,Down Payment,Trade-In Value,Taxes & Fees,Amount Financed,APR %,Loan Term (Months),Monthly Payment,Funding Date,Loan Purpose,Loan Officer,Loan Status,Delinquent Flag,Charge-Off Flag,Region
NRAF-2024-100010,Joseph Brennan,Brandtside,WV,96174,(251) 327-1950,Part-Time,97000.00,22,768,Prime,No,Timpanogos Honda,Orem,UT,84057,2023,Mazda,CX-5,SUV,Used,16300.00,5250.00,0.00,1080.00,12130.00,5.56,60,232.03,1/31/2024,Used Vehicle Purchase,H. Blackwood,Current,0,0,West
NRAF-2024-100011,Caleb Smith,New Jeffrey,CA,93279,(573) 065-2407,Military,44000.00,11,314,Deep Subprime,Yes,Twin Cities Ford,Minneapolis,MN,55401,2024,Toyota,Corolla,Sedan,Used,12400.00,1460.00,0.00,1090.00,12030.00,22,63,323.56,1/30/2024,Used Vehicle Purchase,T. Whitfield,Delinquent 30,1,0,Midwest
NRAF-2024-100012,Jason Anderson,Sanchezfort,AS,53855,(574) 982-1827,Self-Employed,57000.00,24.9,791,Super Prime,No,Buckeye Auto Sales,Columbus,OH,43201,2022,Kia,Sportage,SUV,Used,14400.00,280.00,0.00,970.00,15090.00,5.05,60,285.11,12/9/2024,Private Party Purchase,R. Thompson,Current,0,0,Midwest
NRAF-2024-100013,Bruce Chandler,East Jamesside,NV,18874,(209) 593-5186,Military,36000.00,8.3,517,Subprime,No,Bluff Street Toyota,St. George,UT,84770,2024,Volkswagen,Jetta,Sedan,New,22400.00,0.00,0.00,1710.00,24110.00,19.47,60,631.68,11/30/2024,New Vehicle Purchase,K. Osei,Current,0,0,West
NRAF-2024-100014,Denise Fernandez,North Sarabury,GA,53770,(511) 810-2203,Retired,116000.00,38.7,817,Super Prime,Yes,Gem State Auto,Boise,ID,83701,2018,Honda,CR-V,SUV,Used,19400.00,2840.00,0.00,1690.00,18250.00,5.51,72,298.25,2/17/2024,Refinance,P. Okafor,Current,0,0,West
NRAF-2024-100015,Sara Glover,Rodneyside,TN,94664,(899) 405-3910,Self-Employed,39000.00,15.8,589,Subprime,No,Twin Cities Ford,Minneapolis,MN,55401,2020,Toyota,Corolla,Sedan,Used,15900.00,1330.00,0.00,970.00,15540.00,19.29,60,405.60,1/21/2024,Refinance,T. Whitfield,Current,0,0,Midwest
NRAF-2024-100016,Brian Silva,North Susan,CO,24857,(58) 650-9480,Self-Employed,59000.00,13.9,523,Subprime,No,Wasatch Front Auto Group,Ogden,UT,84401,2022,Honda,Accord,Sedan,Used,21300.00,0.00,0.00,1710.00,23010.00,19.14,72,539.74,5/7/2024,Used Vehicle Purchase,G. Sorensen,Current,0,0,West
NRAF-2024-100017,Bernard Miller,Sarahborough,TN,94373,(386) 338-3928,Military,58000.00,22.8,772,Prime,No,Wasatch Front Auto Group,Ogden,UT,84401,2024,Jeep,Grand Cherokee,SUV,New,42600.00,8280.00,0.00,3790.00,38110.00,6.41,60,744.06,11/24/2024,Used Vehicle Purchase,B. Larsen,Current,0,0,West
NRAF-2024-100018,Stephen Murillo,North Amandahaven,KS,17862,(612) 286-8528,Full-Time,45000.00,27.2,545,Subprime,No,Big Sky Chevrolet,Billings,MT,59101,2020,Nissan,Altima,Sedan,Used,13700.00,230.00,0.00,900.00,14370.00,18.16,36,520.66,8/11/2024,Used Vehicle Purchase,R. Thompson,Current,0,0,West
NRAF-2024-100019,Tonya Roman,Lake Lisaport,TN,14078,(665) 939-8368,Part-Time,50000.00,23.6,580,Subprime,No,Pioneer Auto Sales,Logan,UT,84321,2020,Ram,1500,Truck,Used,25900.00,5690.00,0.00,1870.00,22080.00,15.51,60,531.21,3/6/2024,Used Vehicle Purchase,M. Alvarez,Current,0,0,West
NRAF-2024-100020,Jennifer Harris,Williamview,MH,07159,(49) 082-4043,Full-Time,57000.00,18.5,651,Nonprime,No,Big Sky Chevrolet,Billings,MT,59101,2024,Nissan,Rogue,SUV,New,32700.00,2230.00,0.00,2740.00,33210.00,12.19,84,589.63,3/27/2024,Used Vehicle Purchase,L. Reyes,Current,0,0,West
NRAF-2024-100021,Andrea Patterson,North Charlesberg,ND,05223,(921) 075-2245,Full-Time,120000.00,41,841,Super Prime,No,Bluff Street Toyota,St. George,UT,84770,2024,Nissan,Rogue,SUV,New,32400.00,0.00,8700.00,2420.00,26120.00,5.53,60,499.28,12/1/2024,Private Party Purchase,G. Sorensen,Current,0,0,West
NRAF-2024-100022,Rachel Clark,Lake Curtis,WI,73886,(931) 572-7919,Retired,23000.00,38.7,331,Deep Subprime,No,Peach State Chevrolet,Atlanta,GA,30301,2020,Jeep,Grand Cherokee,SUV,Used,25100.00,1440.00,0.00,2180.00,25840.00,21.15,72,636.29,9/15/2024,Used Vehicle Purchase,T. Whitfield,Current,0,0,South
NRAF-2024-100023,Kimberly Jenkins,West Erik,UT,14669,(566) 139-0604,Part-Time,67000.00,22.2,760,Prime,Yes,Sierra Nevada Toyota,Reno,NV,89501,2024,Ford,Escape,SUV,New,33000.00,2740.00,4700.00,2860.00,28420.00,7.59,48,688.36,3/18/2024,Lease Buyout,P. Okafor,Current,0,0,West
NRAF-2024-100024,Andrew Lee,Joshualand,WI,37086,(67) 998-1364,Retired,46000.00,39.6,399,Deep Subprime,No,Buckeye Auto Sales,Columbus,OH,43201,2024,Jeep,Wrangler,SUV,New,45300.00,6350.00,0.00,3370.00,42320.00,24.24,84,1050.71,6/1/2024,Used Vehicle Purchase,H. Blackwood,Delinquent 30,1,0,Midwest
NRAF-2024-100025,Sydney Baker,New Ryanmouth,NE,79958,(864) 168-6227,Full-Time,48000.00,11.1,504,Subprime,No,Alamo Auto Group,San Antonio,TX,78201,2024,Ram,1500,Truck,New,47300.00,9920.00,7800.00,2880.00,32460.00,15.99,60,789.19,10/15/2024,Refinance,L. Reyes,Delinquent 30,1,0,South
NRAF-2024-100026,Sara Ryan,West Ryan,TN,43780,(331) 465-9116,Full-Time,68000.00,36.9,773,Prime,No,Bayou City Kia,Houston,TX,77001,2021,Ford,Escape,SUV,Used,14200.00,1130.00,0.00,1280.00,14350.00,7.02,60,284.28,11/28/2024,Refinance,T. Whitfield,Current,0,0,South
NRAF-2024-100027,Angela Lee,Byrdburgh,RI,75094,(259) 792-7033,Self-Employed,50000.00,12,573,Subprime,Yes,Peach State Chevrolet,Atlanta,GA,30301,2024,Jeep,Wrangler,SUV,New,38200.00,0.00,0.00,3400.00,41600.00,19.57,72,986.10,3/24/2024,Used Vehicle Purchase,R. Thompson,Current,0,0,South
NRAF-2024-100028,Diana Marshall,Lowehaven,NJ,96964,(405) 147-7053,Self-Employed,91000.00,10.6,812,Super Prime,No,Cascade Ford,Portland,OR,97201,2018,Mercedes-Benz,C-Class,Sedan,Used,24600.00,3350.00,0.00,2050.00,23300.00,4.25,60,431.74,8/7/2024,Used Vehicle Purchase,E. Whitmore,Current,0,0,West
NRAF-2024-100029,Lindsay Hernandez,East Traceyland,NH,54822,#VALUE!,Military,78000.00,17.9,646,Nonprime,No,Mile High Subaru,Denver,CO,80201,2019,Ram,1500,Truck,Used,25300.00,620.00,0.00,1930.00,26610.00,9.84,63,542.53,8/11/2024,Refinance,N. Sandoval,Charged Off,0,1,West
NRAF-2024-100030,Jeffery Brock,Williamsbury,PW,16407,(451) 046-3681,Part-Time,21000.00,11.2,383,Deep Subprime,No,Rio Grande Auto Plaza,Albuquerque,NM,87101,2022,Chevrolet,Equinox,SUV,Used,15200.00,1500.00,0.00,1310.00,15010.00,19.25,66,370.33,9/21/2024,Refinance,H. Blackwood,Current,0,0,West
NRAF-2024-100031,Ronald Meadows,Merrittfort,NV,34473,(3) 845-7620,Self-Employed,67000.00,34,698,Prime,No,Sierra Nevada Toyota,Reno,NV,89501,2022,Ford,Mustang,Coupe,Used,23200.00,2510.00,0.00,1690.00,22380.00,6.39,72,375.04,6/18/2024,Used Vehicle Purchase,D. Nguyen,Current,0,0,West
NRAF-2024-100032,Joseph Flores,East Edwardfurt,UT,20529,(460) 843-2562,Part-Time,89000.00,18.1,816,Super Prime,No,Prairie Wind Chevrolet,Omaha,NE,68101,2024,Subaru,Outback,SUV,New,29900.00,4130.00,3500.00,1950.00,24220.00,5.81,24,1071.37,9/30/2024,New Vehicle Purchase,M. Alvarez,Current,0,0,Midwest
NRAF-2024-100033,Marissa Price,Port Nicoleshire,MS,63019,(495) 782-3298,Part-Time,95000.00,38,837,Super Prime,No,Redwood Ford,West Valley City,UT,84119,2021,Ford,Escape,SUV,Used,14900.00,1900.00,6400.00,1150.00,7750.00,4.85,72,124.27,3/18/2024,Refinance,T. Whitfield,Current,0,0,West
NRAF-2024-100034,Jeffrey Graham,South Matthewfurt,VA,22133,(262) 925-1881,Part-Time,69000.00,17.8,659,Nonprime,Yes,Buckeye Auto Sales,Columbus,OH,43201,2024,Nissan,Altima,Sedan,New,28700.00,1090.00,0.00,2360.00,29970.00,11.43,84,519.96,4/16/2024,Lease Buyout,G. Sorensen,Current,0,0,Midwest
NRAF-2024-100035,Dawn Taylor,Whiteview,MS,43407,(647) 423-1220,Part-Time,101000.00,23.7,665,Prime,No,Emerald City Subaru,Seattle,WA,98101,2024,Jeep,Wrangler,SUV,Used,27900.00,5930.00,0.00,2330.00,24300.00,6.43,72,407.67,12/4/2024,Used Vehicle Purchase,A. Kowalski,Current,0,0,West
NRAF-2024-100036,Andrew Ryan,Jeffreyland,WI,85927,(305) 172-8975,Self-Employed,117000.00,30.3,817,Super Prime,Yes,Peach State Chevrolet,Atlanta,GA,30301,2024,Jeep,Wrangler,SUV,New,38600.00,2340.00,6900.00,2820.00,32180.00,5.1,66,560.18,8/9/2024,New Vehicle Purchase,B. Larsen,Current,0,0,South
NRAF-2024-100037,Elizabeth Elliott,South Holly,WI,48852,(604) 633-3127,Self-Employed,116000.00,23.1,803,Super Prime,No,Gulf Coast Honda,Tampa,FL,33601,2024,Mazda,CX-5,SUV,New,36000.00,8520.00,0.00,3040.00,30520.00,5.18,84,433.95,8/28/2024,Refinance,N. Sandoval,Current,0,0,South
NRAF-2024-100038,Barbara Odonnell,Sandersborough,CA,78108,(96) 569-9988,Retired,40000.00,23.3,630,Nonprime,Yes,Golden Gate Honda,San Francisco,CA,94102,2024,Chevrolet,Silverado 1500,Truck,New,52500.00,7980.00,0.00,4450.00,48970.00,9.48,24,2247.98,10/4/2024,New Vehicle Purchase,L. Reyes,Current,0,0,West
NRAF-2024-100039,Doris Jones,Alexanderchester,GU,64752,(388) 608-6803,Military,44000.00,23.1,537,Subprime,No,Bluegrass Motors,Louisville,KY,40201,2024,Toyota,Tacoma,Truck,New,39600.00,5930.00,0.00,3220.00,36890.00,16.3,60,902.98,1/8/2024,Lease Buyout,A. Kowalski,Current,0,0,South
NRAF-2024-100040,Lindsey Medina,Marshallshire,KY,42746,(649) 082-7718,Self-Employed,85000.00,36.6,767,Prime,No,Carolina Blue Ford,Charlotte,NC,28201,2024,Ford,F-150,Truck,New,39200.00,2800.00,7600.00,3230.00,32030.00,7.43,48,773.40,2/5/2024,Refinance,A. Kowalski,Current,0,0,South
NRAF-2024-100041,Anthony Rosales,South Jason,AS,34363,(279) 371-4521,Part-Time,75000.00,29.2,585,Subprime,No,Sonoran Kia,Tucson,AZ,85701,2022,Nissan,Rogue,SUV,Used,16700.00,3490.00,0.00,1190.00,14400.00,16.63,75,309.98,4/6/2024,Refinance,N. Sandoval,Current,0,0,West
NRAF-2024-100042,Jennifer Freeman,Lake Thomas,VT,64833,(926) 860-2592,Part-Time,123000.00,23.2,800,Super Prime,No,Rocky Mountain Chevrolet,Provo,UT,84601,2020,Honda,Civic,Sedan,Used,15300.00,0.00,7650.00,960.00,8610.00,5.24,75,134.87,1/8/2024,Refinance,N. Sandoval,Current,0,0,West
NRAF-2024-100043,Thomas Schmidt,Barajasside,MA,46613,(212) 309-4077,Self-Employed,60000.00,44.9,587,Subprime,No,Bluebonnet Ford,Austin,TX,78701,2018,Chevrolet,Silverado 1500,Truck,Used,28800.00,4300.00,0.00,2260.00,26760.00,19,60,694.17,12/16/2024,Used Vehicle Purchase,A. Kowalski,Current,0,0,South
NRAF-2024-100044,Stephanie Vaughn,East Joanna,KY,95473,(776) 719-9038,Full-Time,91000.00,30.6,762,Prime,No,Yellowstone Motors,Bozeman,MT,59715,2024,Chevrolet,Equinox,SUV,New,28700.00,3390.00,0.00,2310.00,27620.00,5.72,48,645.12,3/30/2024,Used Vehicle Purchase,G. Sorensen,Current,0,0,West
NRAF-2024-100045,Kevin Erickson,West Brandon,AR,73030,(502) 099-4510,Self-Employed,66000.00,24.9,782,Super Prime,No,Peach State Chevrolet,Atlanta,GA,30301,2024,Volkswagen,Jetta,Sedan,New,23700.00,2700.00,11400.00,2120.00,11720.00,6.25,60,227.95,8/5/2024,Lease Buyout,E. Whitmore,Current,0,0,South
NRAF-2024-100046,Matthew Sheppard,Shelleyfort,DE,09065,(998) 279-5014,Self-Employed,44000.00,36.7,619,Nonprime,No,Alamo Auto Group,San Antonio,TX,78201,2024,Ford,Escape,SUV,New,34100.00,5410.00,0.00,3040.00,31730.00,9.12,75,556.60,9/11/2024,Refinance,S. Patel,Current,0,0,South
NRAF-2024-100047,Victoria Wilson,Obrienbury,WI,68995,(721) 458-6833,Part-Time,99000.00,37.1,743,Prime,No,Gulf Coast Honda,Tampa,FL,33601,2019,Toyota,Corolla,Sedan,Used,12900.00,2080.00,0.00,900.00,11720.00,5.66,60,224.73,4/12/2024,Used Vehicle Purchase,H. Blackwood,Paid Off,0,0,South
NRAF-2024-100048,Chelsea Singh,Lake Jason,TN,11142,(548) 995-2997,Self-Employed,60000.00,11.3,656,Nonprime,No,Pioneer Auto Sales,Logan,UT,84321,2023,Nissan,Rogue,SUV,Used,20000.00,610.00,8400.00,1600.00,12590.00,10.86,60,272.86,10/12/2024,Used Vehicle Purchase,E. Whitmore,Current,0,0,West
NRAF-2024-100049,Terry Johnson,Jasminemouth,CA,90597,(301) 071-3966,Retired,71000.00,12.3,664,Prime,Yes,Great Lakes Toyota,Chicago,IL,60601,2023,Chevrolet,Silverado 1500,Truck,Used,31400.00,5350.00,0.00,2320.00,28370.00,7.98,72,497.14,11/28/2024,Used Vehicle Purchase,S. Patel,Current,0,0,Midwest
NRAF-2024-100050,Margaret Jones,Port Kyle,WA,75108,(414) 488-5015,Self-Employed,47000.00,9.2,596,Subprime,No,Twin Cities Ford,Minneapolis,MN,55401,2019,Nissan,Altima,Sedan,Used,13900.00,4430.00,0.00,880.00,10350.00,17.96,63,254.87,7/27/2024,Private Party Purchase,E. Whitmore,Current,0,0,Midwest
NRAF-2024-100051,Samuel George,Navarroview,AK,12471,(770) 272-7857,Self-Employed,93000.00,17,706,Prime,Yes,Pacific Coast Nissan,San Diego,CA,92101,2018,Honda,CR-V,SUV,Used,24400.00,560.00,3300.00,1930.00,22470.00,5.74,84,325.46,1/26/2024,Used Vehicle Purchase,T. Whitfield,Current,0,0,West
NRAF-2024-100052,Denise Moon,New Ryan,GU,64952,(588) 039-5512,Full-Time,69000.00,21.3,658,Nonprime,No,Pacific Coast Nissan,San Diego,CA,92101,2023,Mercedes-Benz,C-Class,Sedan,Used,30000.00,2700.00,0.00,1900.00,29200.00,12.28,75,559.56,3/8/2024,Used Vehicle Purchase,P. Okafor,Delinquent 90+,1,0,West
NRAF-2024-100053,Heather Roberts,Cervantesside,AZ,60115,(629) 145-0461,Military,43000.00,19.2,421,Deep Subprime,No,Lone Star Chevrolet,Dallas,TX,75201,2021,Hyundai,Tucson,SUV,Used,17500.00,1120.00,0.00,1070.00,17450.00,21.09,72,429.07,12/3/2024,Refinance,H. Blackwood,Current,0,0,South
NRAF-2024-100054,Robert Lopez,Cindyfort,SC,58440,(421) 503-1780,Military,40000.00,18.9,511,Subprime,No,Sonoran Kia,Tucson,AZ,85701,2024,Toyota,RAV4,SUV,New,34000.00,880.00,0.00,2770.00,35890.00,15.56,60,864.41,11/1/2024,Used Vehicle Purchase,P. Okafor,Current,0,0,West
NRAF-2024-100055,Teresa Lynch,Lake Eric,OH,02293,#VALUE!,Full-Time,52000.00,11.4,386,Deep Subprime,Yes,Alamo Auto Group,San Antonio,TX,78201,2022,Nissan,Altima,Sedan,Used,15600.00,2350.00,0.00,1110.00,14360.00,23.71,48,465.86,8/30/2024,Used Vehicle Purchase,C. Fitzgerald,Current,0,0,South
NRAF-2024-100056,William Hill,Bairdbury,NH,72756,(157) 018-4094,Part-Time,59000.00,32.3,656,Nonprime,No,Sunshine State Toyota,Orlando,FL,32801,2024,Mercedes-Benz,C-Class,Sedan,Used,35600.00,6570.00,0.00,2510.00,31540.00,12.66,66,665.82,4/18/2024,Refinance,T. Whitfield,Current,0,0,South
NRAF-2024-100057,Sarah Romero,West Jessicashire,OR,87000,(714) 224-1098,Self-Employed,62000.00,42.1,599,Subprime,No,Empire State Nissan,Albany,NY,12201,2024,Jeep,Grand Cherokee,SUV,Used,25300.00,590.00,0.00,2040.00,26750.00,18.74,36,977.04,5/19/2024,Used Vehicle Purchase,M. Alvarez,Current,0,0,Northeast
NRAF-2024-100058,Stanley Morris,Lake John,MS,31114,(493) 214-9587,Part-Time,49000.00,13.8,549,Subprime,No,Gem State Auto,Boise,ID,83701,2024,Honda,Accord,Sedan,New,33100.00,4120.00,0.00,2550.00,31530.00,16.19,48,896.64,1/27/2024,Lease Buyout,G. Sorensen,Delinquent 30,1,0,West
NRAF-2024-100059,Wayne Lawrence,Port Meganville,NC,60391,(299) 795-4538,Military,58000.00,10,633,Nonprime,Yes,Sunshine State Toyota,Orlando,FL,32801,2024,Toyota,Tacoma,Truck,New,40100.00,8620.00,0.00,3210.00,34690.00,9.63,36,1113.33,7/21/2024,Refinance,K. Osei,Current,0,0,South
NRAF-2024-100060,Debra Christian,Finleyfort,VI,71413,(717) 477-3329,Retired,48000.00,8.7,523,Subprime,No,Twin Cities Ford,Minneapolis,MN,55401,2024,Jeep,Wrangler,SUV,New,40800.00,4840.00,0.00,2880.00,38840.00,14.33,60,910.40,1/22/2024,Lease Buyout,A. Kowalski,Current,0,0,Midwest
NRAF-2024-100061,Scott Benson,North Markton,LA,47485,(770) 171-5772,Full-Time,59000.00,22.6,702,Prime,No,Empire State Nissan,Albany,NY,12201,2022,Nissan,Rogue,SUV,Used,14700.00,1660.00,0.00,990.00,14030.00,6.19,66,251.35,9/25/2024,Used Vehicle Purchase,K. Osei,Current,0,0,Northeast
NRAF-2024-100062,Christian Pitts,South Roberta,FL,30934,(158) 148-7696,Retired,82000.00,25.2,760,Prime,No,Sonoran Kia,Tucson,AZ,85701,2024,Ford,F-150,Truck,New,41600.00,0.00,2700.00,3440.00,42340.00,6.9,36,1305.40,11/17/2024,Refinance,C. Fitzgerald,Current,0,0,West
NRAF-2024-100063,Scott Reed,Daniellechester,UT,33281,(966) 958-3219,Full-Time,87000.00,31.9,837,Super Prime,No,Pacific Coast Nissan,San Diego,CA,92101,2024,Kia,Sportage,SUV,New,30000.00,860.00,0.00,2210.00,31350.00,5.58,36,947.77,5/26/2024,Private Party Purchase,J. Chen,Current,0,0,West
NRAF-2024-100064,Bailey Haney,Andrewfurt,KY,01562,(246) 191-9657,Military,31000.00,31.9,584,Subprime,Yes,Steel City Chevrolet,Pittsburgh,PA,15201,2024,Hyundai,Elantra,Sedan,Used,13700.00,1970.00,0.00,1170.00,12900.00,14.7,84,246.76,2/13/2024,Refinance,E. Whitmore,Current,0,0,Northeast
NRAF-2024-100065,Christine Byrd,Lake Colton,SC,85218,(22) 784-6997,Military,139000.00,40.3,833,Super Prime,No,Steel City Chevrolet,Pittsburgh,PA,15201,2019,Toyota,Corolla,Sedan,Used,14300.00,4160.00,0.00,1100.00,11240.00,5.94,60,216.99,5/9/2024,Private Party Purchase,N. Sandoval,Current,0,0,Northeast
NRAF-2024-100066,Julie Thompson,Port Amber,MN,70080,(519) 098-6240,Full-Time,51000.00,31.9,511,Subprime,No,Bluebonnet Ford,Austin,TX,78701,2018,Subaru,Forester,SUV,Used,15900.00,1610.00,0.00,1410.00,15700.00,15.48,84,307.20,9/26/2024,Used Vehicle Purchase,H. Blackwood,Current,0,0,South
NRAF-2024-100067,Donald Levy,Coffeyside,MN,12337,#VALUE!,Part-Time,27000.00,30.1,520,Subprime,Yes,Canyon View Nissan,Layton,UT,84041,2018,Hyundai,Tucson,SUV,Used,19200.00,1240.00,0.00,1530.00,19490.00,13.99,75,391.25,11/12/2024,Refinance,J. Chen,Current,0,0,West
NRAF-2024-100068,Lynn Bentley,Lake Jesustown,RI,74085,(624) 220-1027,Part-Time,134000.00,21.6,811,Super Prime,No,Empire State Nissan,Albany,NY,12201,2018,Ford,Mustang,Coupe,Used,22800.00,870.00,0.00,1580.00,23510.00,6.42,72,394.31,8/28/2024,Used Vehicle Purchase,P. Okafor,Current,0,0,Northeast
NRAF-2024-100069,Sophia Torres,Wilsonbury,FM,70958,(796) 927-8687,Self-Employed,45000.00,11.1,763,Prime,Yes,Golden Gate Honda,San Francisco,CA,94102,2018,Toyota,Corolla,Sedan,Used,14600.00,1830.00,0.00,1190.00,13960.00,7.92,63,271.56,3/4/2024,Private Party Purchase,T. Whitfield,Current,0,0,West
NRAF-2024-100070,Martha Gilbert,Antoniostad,IL,58616,(384) 689-5009,Self-Employed,82000.00,37.3,660,Nonprime,,Redwood Ford,West Valley City,UT,84119,2023,Chevrolet,Malibu,Sedan,Used,14300.00,1860.00,3500.00,990.00,9930.00,9.15,48,247.82,12/31/2024,Refinance,H. Blackwood,Current,0,0,West
NRAF-2024-100071,James Martinez,Davisborough,SD,84320,(847) 818-9137,Self-Employed,51000.00,12.5,671,Prime,No,Rio Grande Auto Plaza,Albuquerque,NM,87101,2024,BMW,3 Series,Sedan,New,54300.00,2260.00,0.00,3950.00,55990.00,5.58,72,916.86,5/1/2024,Lease Buyout,M. Alvarez,Current,0,0,West
NRAF-2024-100072,Jamie Robinson,West Kim,WY,78617,(58) 077-8795,Military,139000.00,26.8,799,Super Prime,No,Summit Motors,Salt Lake City,UT,84101,2024,Subaru,Outback,SUV,New,34100.00,2760.00,8400.00,2580.00,25520.00,4.73,60,478.44,9/26/2024,Lease Buyout,E. Whitmore,Current,0,0,West
NRAF-2024-100073,Alexis Tyler,New Mario,HI,35283,(494) 079-2904,Self-Employed,56000.00,38.1,651,Nonprime,Yes,Sierra Nevada Toyota,Reno,NV,89501,2024,Ram,1500,Truck,Used,33300.00,0.00,0.00,2330.00,35630.00,9.37,36,1139.17,10/6/2024,Refinance,S. Patel,Current,0,0,West
NRAF-2024-100074,Brittney Hayes,New Bradley,WY,86864,(442) 944-4019,Self-Employed,100000.00,9.4,719,Prime,No,Front Range Ford,Colorado Springs,CO,80901,2024,Toyota,Corolla,Sedan,Used,14200.00,3170.00,0.00,1020.00,12050.00,5.65,72,197.72,8/30/2024,Used Vehicle Purchase,E. Whitmore,Current,0,0,West
NRAF-2024-100075,Jennifer Wallace,West Charleneland,DC,36547,(437) 280-5129,Retired,119000.00,10.9,717,Prime,No,Bluebonnet Ford,Austin,TX,78701,2021,Chevrolet,Silverado 1500,Truck,Used,32100.00,3360.00,0.00,2690.00,31430.00,9.08,60,653.66,2/12/2024,Used Vehicle Purchase,A. Kowalski,Paid Off,0,0,South
